PRODUTOS,CARACTERISTICAS
03-04-0484-8259,{COMPRIMENTO: LONGO;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;COR_PREDOMINANTE: VERMELHO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
03-04-0465-0024,{COMPRIMENTO: MEDIO;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;COR_PREDOMINANTE: OFF_WHITE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
03-04-0483-0005,{COMPRIMENTO: MEDIO;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
03-01-1620-09248,{COMPRIMENTO: MEDIO;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;COR_PREDOMINANTE: LARANJA;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
03-01-1624-0005,{COMPRIMENTO: LONGO;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
03-04-0439-09040,{COMPRIMENTO: MEDIO;MODELAGEM: RETA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
03-04-0467-0800,{COMPRIMENTO: MEDIO;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
03-06-0331-09247,{COMPRIMENTO: MEDIO;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: CURTA;TIPO_MANGA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
25-34-2029-09275,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: ALTA;MODELAGEM: FLARE;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
25-34-2037-09281,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: VINHO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1636-5339,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_LATERAL;FENDA_PERNA: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
25-34-2036-09279,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: ROSA;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: LISTRADO_VERTICAL;ESTILO: CASUAL;}
25-34-1744-01011,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: AMARELO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
25-34-1714-09246,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1713-8259,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: EVASÊ;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: VERMELHO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1655-09618,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: GRANDE;ESTAMPA: LISTRADO_VERTICAL;ESTILO: CASUAL;}
25-34-1936-0005,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_LATERAL;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-2089-04331,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: LISTRADO_VERTICAL;ESTILO: CASUAL;}
25-34-1652-6048,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: AJUSTADA;AMARRACAO: SIM_NA_LATERAL;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1937-09276,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: RETA;TIPO_BARRA: AJUSTADA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1595-09247,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_LATERAL;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1614-09538,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: CARGO;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_LATERAL;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: GRANDE;ESTAMPA: ANIMALPRINT_COBRA;ESTILO: CASUAL;}
25-34-1750-09259,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: CARGO;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: ROSA;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1925-04331,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1917-0005,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1726-6048,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: AJUSTADA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1700-09246,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: SLIM;TIPO_BARRA: AJUSTADA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1639-0030,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1600-09247,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
25-34-1644-09050,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_LATERAL;FENDA_PERNA: N/A;COR_PREDOMINANTE: ROSA;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1615-0030,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: MEDIA;MODELAGEM: FLARE;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: ANIMALPRINT_ONCA;ESTILO: CASUAL;}
25-34-1604-1419,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1605-09612,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_LATERAL;FENDA_PERNA: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: GRANDE;ESTAMPA: LISTRADO_VERTICAL;ESTILO: CASUAL;}
25-34-1642-09257,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: LILÁS;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1742-09205,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_CINTURA;FENDA_PERNA: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1202-0005,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: RETA;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1608-04347,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_LATERAL;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1923-04526,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: AJUSTADA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: VERDE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1638-09247,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: MEDIA;MODELAGEM: SOLTA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: SIM;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: GRANDE;ESTAMPA: ABSTRATO;ESTILO: CASUAL;}
25-34-1409-0278,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: DOBRADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1117-0005,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: CARGO;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1725-04346,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: RETA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: OFF_WHITE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1443-09041,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: CARGO;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1721-0005,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: FLARE;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
25-34-1575-0005,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: CARGO;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1440-09032,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: MARROM;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1734-0005,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: RETA;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1442-09040,{COMPRIMENTO: ANTEBRAÇO;TIPO_CINTURA: MEDIA;MODELAGEM: RETA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1733-01011,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: AMARELO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1439-0005,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-2014-0005,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: CARGO;TIPO_BARRA: AJUSTADA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-0839-0005,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: ALTA;MODELAGEM: SKINNY;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-0410-0005,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: SKINNY;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1724-09539,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: VERDE;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: ANIMALPRINT_COBRA;ESTILO: CASUAL;}
25-34-1731-0402,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: RETA;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: VERMELHO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1918-6048,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: RETA;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1101-09032,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: ALTA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: MARROM;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-2135-04091,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-2015-0005,{COMPRIMENTO: CALCANHAR;TIPO_CINTURA: MEDIA;MODELAGEM: PANTALONA;TIPO_BARRA: RETA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-0926-0005,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: MEDIA;MODELAGEM: MOM;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-1730-09050,{COMPRIMENTO: MEIO_CANELA;TIPO_CINTURA: ALTA;MODELAGEM: CLOCHARD;TIPO_BARRA: AJUSTADA;AMARRACAO: SIM_NA_FRENTE;FENDA_PERNA: N/A;COR_PREDOMINANTE: ROSA;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
25-34-0876-0005,{COMPRIMENTO: MEIO_COXA;TIPO_CINTURA: MEDIA;MODELAGEM: RETA;TIPO_BARRA: AJUSTADA;AMARRACAO: N/A;FENDA_PERNA: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
